city,force_size,race,perc_in
"Jackson, Miss.",960,hispanic,NA
"Riverside, Calif.",955,hispanic,0.142857143
"Fort Lauderdale, Fla.",950,hispanic,0.114285714
St. Louis,950,hispanic,NA
"Brownsville, Texas",925,hispanic,0.520231214
"Albany, N.Y.",890,hispanic,NA
"Colorado Springs, Colo.",860,hispanic,0.913043478
"Savannah, Ga.",860,hispanic,0.75
"Winston-Salem, N.C.",860,hispanic,NA
"Toledo, Ohio",805,hispanic,NA
"Madison, Wis.",790,hispanic,NA
"Corpus Christi, Texas",770,hispanic,0.847222222
"San Bernardino, Calif.",755,hispanic,0.274509804
New York,32300,asian,0.749235474
Chicago,12120,asian,0.966666667
Los Angeles,10100,asian,0.305263158
Washington,9340,asian,0.230769231
Houston,7700,asian,0.408163265
Philadelphia,6045,asian,NA
Phoenix,4475,asian,NA
San Diego,4460,asian,0.515625
Dallas,3605,asian,NA
Detroit,3265,asian,NA
San Francisco,3020,asian,0.486111111
San Antonio,2955,asian,NA
Atlanta,2950,asian,NA
Las Vegas,2830,asian,NA
Baltimore,2800,asian,NA
Boston,2560,asian,NA
"Jacksonville, Fla.",2335,asian,1.0
"El Paso, Texas",2260,asian,NA
"Columbus, Ohio",2245,asian,NA
Cleveland,2045,asian,NA
"Tucson, Ariz.",2020,asian,NA
"Newark, N.J.",2005,asian,NA
"Austin, Texas",1985,asian,NA
"Memphis, Tenn.",1970,asian,NA
Milwaukee,1960,asian,NA
"San Jose, Calif.",1875,asian,0.44
Miami,1860,asian,NA
Denver,1820,asian,NA
"Sacramento, Calif.",1820,asian,NA
"Charlotte, N.C.",1780,asian,NA
"Tampa, Fla.",1715,asian,NA
Indianapolis,1620,asian,NA
"Santa Ana, Calif.",1590,asian,0.0
New Orleans,1560,asian,NA
"Oakland, Calif.",1530,asian,0.28125
"Orlando, Fla.",1530,asian,NA
"Oklahoma City, Okla.",1500,asian,NA
Seattle,1445,asian,NA
"Kansas City, Mo.",1440,asian,NA
"Nashville, Tenn.",1440,asian,NA
"Laredo, Texas",1435,asian,NA
"Fort Worth, Texas",1430,asian,NA
"Louisville, Ky.",1430,asian,NA
"Norfolk, Va.",1425,asian,NA
"Arlington, Va.",1360,asian,NA
Pittsburgh,1350,asian,NA
"Albuquerque, N.M.",1340,asian,NA
"Jersey City, N.J.",1170,asian,NA
"Raleigh, N.C.",1150,asian,NA
"Rochester, N.Y.",1150,asian,NA
Cincinnati,1145,asian,NA
"Long Beach, Calif.",1115,asian,0.0
"Birmingham, Ala.",1110,asian,NA
"Wichita, Kan.",1075,asian,NA
"Virginia Beach, Va.",1070,asian,NA
"Fresno, Calif.",1040,asian,NA
"Buffalo, N.Y.",1010,asian,NA
Minneapolis,1000,asian,NA
"Portland, Ore.",1000,asian,NA
"Reno, Nev.",1000,asian,NA
"Richmond, Va.",1000,asian,NA
"Baton Rouge, La.",980,asian,NA
"Jackson, Miss.",960,asian,NA
"Riverside, Calif.",955,asian,NA
"Fort Lauderdale, Fla.",950,asian,NA
St. Louis,950,asian,NA
"Brownsville, Texas",925,asian,NA
"Albany, N.Y.",890,asian,NA
"Colorado Springs, Colo.",860,asian,NA
"Savannah, Ga.",860,asian,NA
"Winston-Salem, N.C.",860,asian,NA
"Toledo, Ohio",805,asian,NA
"Madison, Wis.",790,asian,NA
"Corpus Christi, Texas",770,asian,NA
"San Bernardino, Calif.",755,asian,NA
